TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 285.81487
PSUR = 1017.24
boresightNadirAngle = 0.
latitude = -39.245551
longitude = 180.71173
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  66  2.1544300    41.83241100 2.5450E2 5.9789E-6 3.8E-4 5.2273E-6 1.1788E-8 3.1116E-8 5.6428E-7 1.E-20 1.4374E-8  1.7136E-9  1.0246E-10 1.E-20
  67  1.9573400    42.55899200 2.5619E2 5.9850E-6 3.8E-4 4.8479E-6 1.1099E-8 3.2169E-8 5.5136E-7 1.E-20 1.4482E-8  1.3750E-9  7.2400E-11 1.E-20
  68  1.7782800    43.29022000 2.5765E2 5.9884E-6 3.8E-4 4.4862E-6 1.0747E-8 3.3541E-8 5.4473E-7 1.E-20 1.4591E-8  1.0910E-9  5.0753E-11 1.E-20
  69  1.6156000    44.02578800 2.5912E2 5.9918E-6 3.8E-4 4.1515E-6 1.0406E-8 3.4972E-8 5.3818E-7 1.E-20 1.4701E-8  8.6560E-10 3.5579E-11 1.E-20
  70  1.4678000    44.76465500 2.5984E2 5.9917E-6 3.8E-4 3.8303E-6 1.0350E-8 3.6651E-8 5.3820E-7 1.E-20 1.4883E-8  6.8372E-10 2.5224E-11 1.E-20
  71  1.3335200    45.50572100 2.6054E2 5.9916E-6 3.8E-4 3.5337E-6 1.0299E-8 3.8415E-8 5.3833E-7 1.E-20 1.5069E-8  5.4004E-10 1.7887E-11 1.E-20
  72  1.2115300    46.24861800 2.6103E2 5.9907E-6 3.8E-4 3.2633E-6 1.0212E-8 4.0090E-8 5.3838E-7 1.E-20 1.5199E-8  4.2628E-10 1.2737E-11 1.E-20
  73  1.1006900    46.99233900 2.6095E2 5.9880E-6 3.8E-4 3.0210E-6 1.0035E-8 4.1382E-8 5.3817E-7 1.E-20 1.5184E-8  3.3591E-10 9.1662E-12 1.E-20
  74  1.0000000    47.73593000 2.6087E2 5.9853E-6 3.8E-4 2.7968E-6 9.8630E-9 4.2714E-8 5.3796E-7 1.E-20 1.5168E-8  2.6470E-10 6.5966E-12 1.E-20
  75  0.8254040    49.21969800 2.5961E2 5.9765E-6 3.8E-4 2.4155E-6 9.6195E-9 4.5865E-8 5.3832E-7 1.E-20 1.4917E-8  1.6576E-10 3.5273E-12 1.E-20
  76  0.6812920    50.69522300 2.5774E2 5.9669E-6 3.8E-4 2.0956E-6 9.1788E-9 4.8883E-8 5.3802E-7 1.E-20 1.4512E-8  1.0463E-10 1.9450E-12 1.E-20
  77  0.5623410    52.15938800 2.5539E2 5.9576E-6 3.8E-4 1.8251E-6 8.3794E-9 5.1207E-8 5.3615E-7 1.E-20 1.3962E-8  6.6678E-11 1.1128E-12 1.E-20
  78  0.4641590    53.60631300 2.5147E2 5.9514E-6 3.8E-4 1.6138E-6 7.5030E-9 5.3383E-8 5.2623E-7 1.E-20 1.3227E-8  4.2896E-11 6.9406E-13 1.E-20
  79  0.3831180    55.03072000 2.4727E2 5.9433E-6 3.8E-4 1.4289E-6 6.7473E-9 5.5874E-8 5.1727E-7 1.E-20 1.2422E-8  2.7826E-11 4.5222E-13 1.E-20
  80  0.3162290    56.43090100 2.4279E2 5.9311E-6 3.8E-4 1.2653E-6 6.1312E-9 5.8952E-8 5.1108E-7 1.E-20 1.1510E-8  1.8293E-11 3.1450E-13 1.E-20
  81  0.2610170    57.80800100 2.3897E2 5.9112E-6 3.8E-4 1.1002E-6 5.4820E-9 6.2020E-8 5.0212E-7 1.E-20 1.0531E-8  1.2343E-11 2.1595E-13 1.E-20
  82  0.2154430    59.16524400 2.3562E2 5.8860E-6 3.8E-4 9.4461E-7 4.8461E-9 6.5119E-8 4.9132E-7 1.E-20 9.5505E-9  8.4854E-12 1.4728E-13 1.E-20
  83  0.1778280    60.50920300 2.3415E2 5.8356E-6 3.8E-4 7.7920E-7 3.8359E-9 7.2338E-8 4.7108E-7 1.E-20 7.8363E-9  5.6024E-12 8.0075E-14 1.E-20
  84  0.1467800    61.84947500 2.3413E2 5.7662E-6 3.8E-4 6.2310E-7 2.7948E-9 8.3970E-8 4.4469E-7 1.E-20 5.9536E-9  3.5880E-12 3.6477E-14 1.E-20
  85  0.1211530    63.18923700 2.3378E2 5.5635E-6 3.8E-4 5.0017E-7 1.8721E-9 1.1068E-7 4.0470E-7 1.E-20 4.0015E-9  2.0968E-12 1.4837E-14 1.E-20
  86  0.0999995    64.52526200 2.3261E2 5.0744E-6 3.8E-4 4.0507E-7 1.0222E-9 1.9711E-7 3.3771E-7 1.E-20 2.0102E-9  9.8482E-13 4.6131E-15 1.E-20
