TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 302.39513
PSUR = 1006.77
boresightNadirAngle = 0.
latitude = -19.810126
longitude = 171.97993
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  63  2.8729800    40.114437000 2.5440E2 5.9374E-6 3.8E-4 5.9523E-6 1.3704E-8 2.9208E-8 6.0507E-7 1.E-20 1.4068E-8  2.7852E-9  2.3862E-10 1.E-20
  64  2.6101600    40.841180000 2.5669E2 5.9473E-6 3.8E-4 5.5531E-6 1.1885E-8 2.9575E-8 5.7049E-7 1.E-20 1.4195E-8  2.3155E-9  1.7383E-10 1.E-20
  65  2.3713700    41.573691000 2.5831E2 5.9322E-6 3.8E-4 5.1653E-6 1.2028E-8 3.0989E-8 5.6810E-7 1.E-20 1.4501E-8  1.8888E-9  1.2596E-10 1.E-20
  66  2.1544300    42.310962000 2.5993E2 5.9171E-6 3.8E-4 4.8047E-6 1.2202E-8 3.2475E-8 5.6585E-7 1.E-20 1.4815E-8  1.5410E-9  9.1280E-11 1.E-20
  67  1.9573400    43.052075000 2.6090E2 5.9059E-6 3.8E-4 4.4850E-6 1.2856E-8 3.4416E-8 5.7257E-7 1.E-20 1.5130E-8  1.2434E-9  6.5917E-11 1.E-20
  68  1.7782800    43.795607000 2.6151E2 5.8969E-6 3.8E-4 4.1952E-6 1.3866E-8 3.6719E-8 5.8488E-7 1.E-20 1.5448E-8  9.9692E-10 4.7502E-11 1.E-20
  69  1.6156000    44.541037000 2.6211E2 5.8878E-6 3.8E-4 3.9242E-6 1.4991E-8 3.9184E-8 5.9767E-7 1.E-20 1.5773E-8  7.9904E-10 3.4234E-11 1.E-20
  70  1.4678000    45.287892000 2.6238E2 5.9074E-6 3.8E-4 3.6452E-6 1.3687E-8 3.9790E-8 5.8087E-7 1.E-20 1.5620E-8  6.2461E-10 2.3985E-11 1.E-20
  71  1.3335200    46.035696000 2.6265E2 5.9275E-6 3.8E-4 3.3856E-6 1.2483E-8 4.0387E-8 5.6422E-7 1.E-20 1.5462E-8  4.8807E-10 1.6797E-11 1.E-20
  72  1.2115300    46.784551000 2.6302E2 5.9470E-6 3.8E-4 3.1360E-6 1.1305E-8 4.1175E-8 5.4838E-7 1.E-20 1.5292E-8  3.8260E-10 1.1799E-11 1.E-20
  73  1.1006900    47.535044000 2.6363E2 5.9645E-6 3.8E-4 2.8851E-6 1.0051E-8 4.2417E-8 5.3354E-7 1.E-20 1.5089E-8  3.0234E-10 8.3509E-12 1.E-20
  74  1.0000000    48.287392000 2.6425E2 5.9820E-6 3.8E-4 2.6543E-6 8.9935E-9 4.3698E-8 5.1940E-7 1.E-20 1.4892E-8  2.3894E-10 5.9115E-12 1.E-20
  75  0.8254040    49.797577000 2.6541E2 5.9760E-6 3.8E-4 2.2444E-6 8.2831E-9 4.7464E-8 5.1499E-7 1.E-20 1.4462E-8  1.5227E-10 3.0409E-12 1.E-20
  76  0.6812920    51.313661000 2.6607E2 5.9510E-6 3.8E-4 1.9056E-6 7.7011E-9 5.1463E-8 5.1483E-7 1.E-20 1.3929E-8  9.7869E-11 1.5782E-12 1.E-20
  77  0.5623410    52.831892000 2.6591E2 5.9148E-6 3.8E-4 1.6304E-6 6.7832E-9 5.4937E-8 5.0976E-7 1.E-20 1.3244E-8  6.3095E-11 8.2028E-13 1.E-20
  78  0.4641590    54.344378000 2.6381E2 5.8805E-6 3.8E-4 1.4203E-6 5.6636E-9 5.8891E-8 4.9227E-7 1.E-20 1.2083E-8  3.9862E-11 4.4693E-13 1.E-20
  79  0.3831180    55.842914000 2.6077E2 5.8520E-6 3.8E-4 1.2438E-6 4.6919E-9 6.3046E-8 4.7547E-7 1.E-20 1.0961E-8  2.5364E-11 2.6154E-13 1.E-20
  80  0.3162290    57.320683000 2.5632E2 5.8336E-6 3.8E-4 1.0963E-6 3.8464E-9 6.7287E-8 4.6102E-7 1.E-20 9.9066E-9  1.6397E-11 1.7265E-13 1.E-20
  81  0.2610170    58.771376000 2.5105E2 5.8247E-6 3.8E-4 9.6492E-7 2.9270E-9 7.2284E-8 4.4083E-7 1.E-20 8.3977E-9  1.0366E-11 1.1097E-13 1.E-20
  82  0.2154430    60.190945000 2.4519E2 5.8225E-6 3.8E-4 8.4842E-7 2.1254E-9 7.8018E-8 4.1742E-7 1.E-20 6.8144E-9  6.4583E-12 7.0142E-14 1.E-20
  83  0.1778280    61.576671000 2.3903E2 5.8201E-6 3.8E-4 7.3934E-7 1.6935E-9 8.5232E-8 4.0109E-7 1.E-20 5.6399E-9  4.3923E-12 4.6541E-14 1.E-20
  84  0.1467800    62.927051000 2.3263E2 5.8176E-6 3.8E-4 6.3983E-7 1.4594E-9 9.4029E-8 3.8994E-7 1.E-20 4.7422E-9  3.1985E-12 3.2140E-14 1.E-20
  85  0.1211530    64.242099000 2.2650E2 5.8149E-6 3.8E-4 5.4361E-7 1.2642E-9 1.0450E-7 3.7932E-7 1.E-20 3.9177E-9  2.4437E-12 2.1887E-14 1.E-20
  86  0.0999995    65.524503000 2.2103E2 5.8119E-6 3.8E-4 4.4217E-7 1.0783E-9 1.1808E-7 3.6919E-7 1.E-20 3.0935E-9  2.0847E-12 1.4273E-14 1.E-20
