Date         TIME (UTC)             Surface Skin Temperature
2007070912,      12,                 301.420
Pressure at bottom of layer (Pa),Pressure at midpoint of layer (Pa),Geopotential height at bottom of layer (m),Geopotential height at midpoint of layer (m),Latitude,Longitude,Temperature (K),Water Vapor mixing ratio (kg/kg),O3 (ppm),NO2 (ppm),HCHO (ppm),SO2 (ppm),CO (ppm),cloud optical thickness of ice,cloud optical thickness for water,aerosol optical depth at 300nm,aerosol optical depth at 400nm,aerosol optical depth at 600nm,aerosol optical depth at 999nm,assymetry parameter at 300nm,assymetry parameter at 400nm,assymetry parameter at 600nm,assymetry parameter at 999nm,single scattering albedo at 300nm,single scattering albedo at 400nm,single scattering albedo at 600nm,single scattering albedo at 999nm
      2373.04,      2176.10,       25827.082,       26349.354,      40.3000,     -74.7000,       224.59138,  3.05446e-06,      6.38244,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      1979.16,      1812.44,       26913.177,       27687.682,      40.3000,     -74.7000,       226.66219,  3.11726e-06,      7.57594,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      1645.71,      1505.03,       28462.195,       29115.733,      40.3000,     -74.7000,       229.17478,  3.18855e-06,      8.26666,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      1364.34,      1246.02,       29769.279,       30318.945,      40.3000,     -74.7000,       231.29178,  3.27455e-06,      8.50657,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      1127.69,      1028.49,       30868.620,       31329.433,      40.3000,     -74.7000,       233.06969,  3.37114e-06,      8.50207,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      929.293,      845.639,       32041.321,       32726.970,      40.3000,     -74.7000,       235.75070,  3.45792e-06,      8.48735,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      761.983,      691.832,       33412.635,       34017.145,      40.3000,     -74.7000,       238.23015,  3.53728e-06,      8.38583,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      621.679,      563.180,       34845.814,       35536.822,      40.3000,     -74.7000,       240.90200,  3.59305e-06,      8.18787,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      504.679,      456.169,       36227.854,       37086.780,      40.3000,     -74.7000,       243.48685,  3.65555e-06,      7.76362,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      407.656,      367.650,       37976.263,       38709.779,      40.3000,     -74.7000,       246.05713,  3.71207e-06,      7.00965,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
