# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   288.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  1
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
40    0.05220  70.0000 219.6000 3.0023E-07 2.3118E-10 5.1400E-13 4.3200E-11 0.0000E+00 3.5027E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
41    0.02400  75.0000 208.4000 2.5018E-07 2.1515E-10 4.1600E-13 2.8300E-11 0.0000E+00 2.8270E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
42    0.01050  80.0000 198.6000 3.0021E-07 2.0214E-10 3.5300E-13 1.3300E-11 0.0000E+00 2.0514E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
43    0.00446  85.0000 188.9000 5.0027E-07 1.9210E-10 3.0900E-13 5.5600E-12 0.0000E+00 1.3307E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
44    0.00184  90.0000 186.9000 7.0054E-07 1.8314E-10 2.7600E-13 2.2400E-12 0.0000E+00 8.5065E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
45    0.00076  95.0000 188.4000 7.0054E-07 1.7613E-10 2.5000E-13 8.9600E-13 0.0000E+00 5.4041E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
46    0.00032 100.0000 195.1000 4.0035E-07 1.7015E-10 2.3000E-13 3.5800E-13 0.0000E+00 4.0035E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
47    0.00014 105.0000 208.8000 2.0013E-07 1.6410E-10 2.1300E-13 1.4300E-13 0.0000E+00 3.4022E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
48    0.00007 110.0000 240.0000 5.0031E-08 1.5910E-10 1.9800E-13 5.7300E-14 0.0000E+00 2.8017E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
49    0.00004 115.0000 300.0000 5.0034E-09 1.5511E-10 1.8600E-13 2.2900E-14 0.0000E+00 2.4017E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
50    0.00003 120.0000 360.0000 5.0037E-10 1.5111E-10 1.7500E-13 9.1700E-14 0.0000E+00 2.0015E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
