# AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   257.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
41    0.02000  75.0000 234.7000 3.3021E-07 2.1514E-10 4.1600E-13 2.8300E-11 0.0000E+00 2.7017E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
42    0.00966  80.0000 223.9000 1.3009E-07 2.0214E-10 3.5300E-13 1.3300E-11 0.0000E+00 2.0013E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
43    0.00450  85.0000 213.1000 7.5075E-07 1.9219E-10 3.0900E-13 5.5600E-12 0.0000E+00 1.3313E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
44    0.00202  90.0000 202.3000 8.0052E-07 1.8312E-10 2.7600E-13 2.2400E-12 0.0000E+00 8.5055E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
45    0.00091  95.0000 211.0000 8.0066E-07 1.7615E-10 2.5000E-13 8.9600E-13 0.0000E+00 5.4045E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
46    0.00042 100.0000 218.5000 4.0024E-07 1.7010E-10 2.3000E-13 3.5800E-13 0.0000E+00 4.0024E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
47    0.00021 105.0000 234.0000 2.0015E-07 1.6412E-10 2.1300E-13 1.4300E-13 0.0000E+00 3.4026E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
48    0.00011 110.0000 252.6000 5.0037E-08 1.5912E-10 1.9800E-13 5.7300E-14 0.0000E+00 2.8021E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
49    0.00006 115.0000 288.5000 5.0023E-09 1.5507E-10 1.8600E-13 2.2900E-14 0.0000E+00 2.4011E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
50    0.00004 120.0000 333.0000 5.0036E-10 1.5111E-10 1.7500E-13 9.1700E-14 0.0000E+00 2.0014E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
